                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                 1.2868,                  1.422,                 1.4786,                 0.4355,                0.24804,                0.28337,                0.14812,                  1.671,                 2.0557,                 1.7565,             0.00079625,             0.00079625,             0.00079625
                     57,                 1.2471,                 1.3674,                 1.4591,                0.37527,                0.28669,                0.27113,                0.14713,                 1.6856,                 2.0041,                 1.8017,               0.000788,               0.000788,               0.000788
                     58,                 1.2702,                 1.3669,                 1.4708,                0.31979,                0.34215,                0.27548,                0.15301,                 1.6527,                 2.0288,                 1.7294,             0.00077975,             0.00077975,             0.00077975
                     59,                  1.275,                 1.3658,                 1.4525,                0.37356,                0.36038,                0.33425,                0.17917,                 1.6224,                 1.8238,                 1.7108,              0.0007715,              0.0007715,              0.0007715
                     60,                 1.2485,                 1.3932,                 1.4389,                0.37005,                0.33061,                 0.2758,                0.13378,                  1.699,                 1.8755,                 1.7868,             0.00076325,             0.00076325,             0.00076325
                     61,                  1.245,                 1.3217,                 1.4232,                0.41032,                0.29988,                0.31589,                 0.1543,                 1.7128,                 1.8588,                 1.7549,               0.000755,               0.000755,               0.000755
                     62,                 1.2334,                 1.3244,                 1.4403,                0.46381,                0.31403,                0.33712,                 0.1615,                 1.7195,                 1.9068,                 1.7899,             0.00074675,             0.00074675,             0.00074675
                     63,                 1.2204,                 1.3132,                 1.4181,                0.41331,                0.31704,                0.27308,                 0.1302,                 1.7419,                  2.007,                 1.8067,              0.0007385,              0.0007385,              0.0007385
                     64,                 1.2432,                 1.3343,                 1.4624,                0.36833,                0.39357,                0.33737,                0.16691,                 1.6089,                 1.7429,                 1.7079,             0.00073025,             0.00073025,             0.00073025
                     65,                 1.2123,                  1.308,                 1.4217,                0.52307,                0.41544,                0.40824,                0.18728,                 1.6288,                 1.7235,                 1.6981,               0.000722,               0.000722,               0.000722
                     66,                 1.2219,                 1.3092,                 1.4244,                0.49681,                0.42159,                0.38109,                 0.2019,                 1.6384,                 1.8598,                 1.7349,             0.00071375,             0.00071375,             0.00071375
                     67,                 1.2212,                 1.3428,                 1.4456,                 0.3483,                0.35153,                0.29225,                0.18547,                 1.6536,                 1.8937,                 1.7188,              0.0007055,              0.0007055,              0.0007055
                     68,                 1.1664,                 1.2599,                 1.3962,                0.41513,                0.30953,                0.32728,                0.18977,                 1.7793,                 1.7939,                 1.8317,             0.00069725,             0.00069725,             0.00069725
                     69,                  1.201,                 1.2571,                 1.4013,                0.39518,                0.41985,                 0.3336,                0.17804,                 1.7195,                 1.7248,                 1.7504,               0.000689,               0.000689,               0.000689
                     70,                 1.2147,                 1.2294,                 1.3798,                0.44485,                0.38407,                0.35078,                0.16897,                 1.7225,                 1.8231,                 1.7758,             0.00068075,             0.00068075,             0.00068075
                     71,                 1.1794,                 1.2109,                 1.3709,                0.60675,                0.32572,                0.35866,                0.16341,                 1.6862,                 1.8125,                 1.7211,              0.0006725,              0.0006725,              0.0006725
                     72,                 1.2104,                 1.2229,                 1.4082,                0.43357,                0.33616,                0.35338,                0.17399,                 1.6898,                 1.8149,                 1.8058,             0.00066425,             0.00066425,             0.00066425
